season,episode,url,character,line
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, This is Michael Bluth.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, For ten years he's worked for his father's company waiting to be made a partner. And right now he's happy. This is Michael's mother.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lucille," Look what they've done, Michael!"
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, She isn't happy.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lucille, Look what the homosexuals have done to me!
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael,You can't just comb that out and reset it? 
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, Currently she's upset that her husband's retirement party is being upstaged by a group of gay protesters.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Protesters," (Chanting) We're here, we're queer! We want to get married on the ocean!"
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lucille, Everything they do is so dramatic and flamboyant. It just makes me want to set myself on fire!
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lindsay,"Good grief, Mother! Not all homosexuals are flamboy... Oh, my God, I have the exact same blouse. "
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," This is Michael's twin sister, Lindsay."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lucille, I like it better on him.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," As a youthful act of defiance, Lindsay married this man."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, They moved to Boston where they've become celebrated for their wine and cheese fund-raisers.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lindsay," Oh, no. I'm completely stuffed. Um, I forget their name but I know they're hungry. I think some of them are thirsty."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, Michael and his sister haven't spoken in a year. Neither has acknowledged this.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael," So, this is the magic trick, huh?"
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,G.O.B.," ""Illusion,"" Michael. A ""trick"" is something a whore does for money..."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,G.O.B., Or cocaine! 
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," G.O.B. recently started the Alliance of Magicians, an organization that blackballs any performer who reveals a magician's secret."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," And finally, there's Buster, the youngest of Michael's siblings."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael," Hey, Buster."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael," You know, you don't need to do that, buddy. It's okay."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," Thanks to the family's largesse, Buster has studied everything from Native American tribal ceremonies..."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, the mapping of uncharted territories.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Buster, the mapping of uncharted territories.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael," Sure. Hasn't everything already sort of been discovered, though by, like, Magellan and Cortés? NASA, you know?"
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Buster," Oh, yeah, yeah."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael, ...all those people.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Buster, Those guys did a pretty good job.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Michael, Right.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Buster, But there's still. You know...
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Lucille, Never hurts to double-check.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, He also suffers from crippling panic attacks.
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator," Yes, this is his family. So, why is Michael so happy? Because he's decided to never speak to these people again."
1,Pilot,https://arresteddevelopment.fandom.com/wiki/Transcript_of_Pilot,Narrator, Michael was feeling more generous about his family on the morning of the boat party.
